id,chemical_name,status,category,restriction_details,registered_formulations
1,Alachlor,BANNED,,,
2,Aldicarb,BANNED,,,
3,Aldrin,BANNED,,,
4,Benzene Hexachloride,BANNED,,,
5,Benomyl,BANNED,,,
6,Calcium Cyanide,BANNED,,,
7,Carbaryl,BANNED,,,
8,Chlorbenzilate,BANNED,,,
9,Chlordane,BANNED,,,
10,Chlorofenvinphos,BANNED,,,
11,Copper Acetoarsenite,BANNED,,,
12,Diazinon,BANNED,,,
13,Dibromochloropropane,BANNED,,,
14,Dichlorovos,BANNED,,,
15,Dicofol,BANNED,,,
16,Dieldrin,BANNED,,,
17,Dinocap,BANNED,,,
18,Endosulfan,BANNED,,,
19,Endrin,BANNED,,,
20,Ethyl Mercury Chloride,BANNED,,,
21,Ethyl Parathion,BANNED,,,
22,Ethylene Dibromide,BANNED,,,
23,Fenarimol,BANNED,,,
24,Fenthion,BANNED,,,
25,Heptachlor,BANNED,,,
26,Lindane,BANNED,,,
27,Linuron,BANNED,,,
28,Maleic Hydrazide,BANNED,,,
29,Menazon,BANNED,,,
30,Methomyl,BANNED,,,
31,Methoxy Ethyl Mercury Chloride,BANNED,,,
32,Methyl Parathion,BANNED,,,
33,Metoxuron,BANNED,,,
34,Nitrofen,BANNED,,,
35,Paraquat Dimethyl Sulphate,BANNED,,,
36,Pentachloro Nitrobenzene,BANNED,,,
37,Pentachlorophenol,BANNED,,,
38,Phenyl Mercury Acetate,BANNED,,,
39,Phorate,BANNED,,,
40,Phosphamidon,BANNED,,,
41,Sodium Cyanide,BANNED,,,
42,Sodium Methane Arsonate,BANNED,,,
43,Tetradifon,BANNED,,,
44,Thiometon,BANNED,,,
45,Toxaphene,BANNED,,,
46,Triazophos,BANNED,,,
47,Tridemorph,BANNED,,,
48,Trichloro Acetic Acid,BANNED,,,
49,Trichlorfon,BANNED,,,
50,Captafol 80,BANNED,,,
51,Nicotin Sulfate,BANNED,,,
52,Dalapon,BANNED,,,
53,Ferbam,BANNED,,,
54,Formothion,BANNED,,,
55,Nickel Chloride,BANNED,,,
56,Paradichlorobenzene,BANNED,,,
57,Simazine,BANNED,,,
58,Sirmate,BANNED,,,
59,Warfarin,BANNED,,,
60,"2,4, 5-T",REFUSED,,,
61,Ammonium Sulphamate,BANNED,,,
62,Azinphos Ethyl,BANNED,,,
63,Azinphos Methyl,BANNED,,,
64,Binapacryl,BANNED,,,
65,Calcium Arsenate,BANNED,,,
66,Carbophenothion,BANNED,,,
67,Chinomethionate,BANNED,,,
68,Dicrotophos,BANNED,,,
69,Epn,REFUSED,,,
70,Fentin Acetate,BANNED,,,
71,Fentin Hydroxide,BANNED,,,
72,Lead Arsenate,BANNED,,,
73,Leptophos,BANNED,,,
74,Mephosfolan,BANNED,,,
75,Mevinphos,BANNED,,,
76,Thiodemeton,REFUSED,,,
77,Vamidothion,BANNED,,,
78,Aluminium Phosphide,REGISTERED,UNKNOWN,"Pest control operations allowed only by Govt./Govt. undertakings/approved experts, except 15% 12g and 6% tablets. 10- and 20-tablet tube packs banned",Aluminium phosphide 56% Powder | Aluminium phosphide 56% Tab | Aluminium phosphide 6% Tab | Aluminium phosphide 77.5%GR
79,Captafol,BANNED,,Foliar spray banned; permitted only as seed dresser. Manufacture of 80% powder,
80,Carbofuran,BANNED,UNKNOWN,All formulations banned except 3% encapsulated granule,Carbofuran 03% CG
81,Chlorpyrifos,RESTRICTED,,,Chlorpyrifos 01.50% DP | Chlorpyrifos 10% Granules | Chlorpyrifos 20% EC | Chlorpyrifos 50% EC | Chlorpyrifos 19% ME
82,Cypermethrin,BANNED,UNKNOWN,"3% smoke generator restricted to use by Pest Control Operators only, not for general public",Cypermethrin 0.1% Aqueous | Cypermethrin 0.25% DP | Cypermethrin 03% Smoke Generator | Cypermethrin 1% Chalk | Cypermethrin 1% Dust | Cypermethrin 10% EC | Cypermethrin 25% EC | Cypermethrin10% + Indoxacarb 10% SC | Cypermethrin 3% + Quinalphos 20% EC
83,Dazomet,BANNED,UNKNOWN,See CIBRC guidelines for specific crop/use restrictions,
84,Dichloro-Diphenyl-Trichloroethane,RESTRICTED,,"Restricted to 10,000 MT/year for public health use only. BANNED in agriculture. Export allowed under Stockholm Convention",
85,Dimethoate,BANNED,UNKNOWN,,Dimethoate 30% EC | Dimethoate 20% + Cypermethrin 3% EC
86,Fenitrothion,BANNED,UNKNOWN,Banned in agriculture except for locust control and public health,Fenitrothion 2% Spray | Fenitrothion 20% OL | Fenitrothion40% WP
87,Malathion,BANNED,UNKNOWN,,Malathion 02% House Hold Spray | Malathion 05%DP | Malathion 25 %WP | Malathion 50% EC | Malathion 96%ULV
88,Mancozeb,BANNED,UNKNOWN,,Mancozeb 35% SC | Mancozeb 75% WP | Mancozeb 75% WG | Mancozeb 40%+Azoxytrobin 7.0%w/w OS | Mancozeb 68% + Hexaconazole 4% WG | Mancozeb 50%+Thiophanate methyl 25%WG | Mancozeb 60% + Pyraclostrobin 5% w/w WG | Mancozeb 40.0% + Tebuconazole 1.0 % WS | Mancozeb 52.6% + Hexaconazole 2.4 % WG | Mancozeb 64% + Thiophanate Methyl 12% WP | Mancozeb 69.7% + Cyazofamid 5.3 % WG
89,Methyl Bromide,BANNED,UNKNOWN,Restricted for use only by Govt./Govt. undertakings or approved experts,Methyl Bromide 98%w/w
90,Monocrotophos,BANNED,UNKNOWN,,Monocrotophos15% SG
91,Oxyfluorfen,BANNED,UNKNOWN,,Oxyfluorfen 0.35% GR | Oxyfluorfen 20% DF | Oxyfluorfen 23.5% EC | Oxyfluorfen 2.5% + Glyphosate | Oxyfluorfen 20% + Clodinafop propargyl 5% DF
92,Quinalphos,BANNED,UNKNOWN,,Quinalphos 01.50% DP | Quinalphos 5 % Granules | Quinalphos 20 % AF | Quinalphos25 % EC | Quinalphos25 % Gel
93,Trifluralin,BANNED,UNKNOWN,All uses banned except in wheat from August 2018,
94,1-Methyl Cyclopropene,REGISTERED,UNKNOWN,,
95,6-Benzyladenine,REGISTERED,UNKNOWN,,
96,"2,4-D Amine Salt",REGISTERED,UNKNOWN,,"2,4-D Amine Salt 58% SL"
97,"2,4-D- Ethyl Ester",REGISTERED,UNKNOWN,,
98,"2,4-D Sodium Salt",REGISTERED,UNKNOWN,,"2,4-D Sodium Salt 80% min | 2,4-D Sodium Salt 44%+Metribuzin 35%+ Pyrazosulfuron ethyl 1.0%WDG | 2,4-D Sodium salt 48% + Metribuzin 32% + Chlorimuron ethyl 0.85% WDG | 2,4-D sodium salt 50% + Metribuzin 15% WP"
99,Abamectin,REGISTERED,UNKNOWN,,Abamectin 1.9% EC
100,Acephate,REGISTERED,UNKNOWN,"Endocrine disruption; banned in 32 countries including EU, China, Malaysia",Acephate 75% SP | Acephate 95% SG | Acephate 97% DF | Acephate 25%+ Fenvalerate 3% EC | Acephate 45%+ Cypermethrin 5% DF | Acephate 50%+ Bifenthrin 10% WDG | Acephate 50%+ Fiproni l5% WDG | Acephate 50%+ Imidacloprid 1.8% SP | Acephate 50% + Imidacloprid 5% WG
101,Acetamiprid,REGISTERED,UNKNOWN,,Acetamiprid 20% SP | Acetamiprid 0.4%+ Chlorpyriphos 20% EC | Acetamiprid 1.1%+ Cypermethrin 5.5% EC | Acetamiprid 20% + Chlorantraniliprole 20% WG | Acetamiprid 25% + Bifenthrin 25% WG | Acetamiprid 19.5% + Chlorantraniliprole 19.5% FS
102,Acequinocyl,REGISTERED,UNKNOWN,,Acequinocyl 15 % SC
103,Aclonifen,REGISTERED,UNKNOWN,,Aclonifen 36.89 + Diflufenican 6.15% + Pyroxasulfone 4.10% SC
104,Acynonapyr,REGISTERED,UNKNOWN,,
105,Afidopyropen,REGISTERED,UNKNOWN,,Afidopyropen 50 g/LDC | Afidopyropen 50 g/l + Abamectin 25 g/l DC
106,Allethrin,REGISTERED,UNKNOWN,,
107,Alphacypermethrin,REGISTERED,UNKNOWN,,Alphacypermethrin 0.1% RTU | Alphacypermethrin 0.5% Chalk | Alphacypermethrin 0.667% LLIN | Alphacypermethrin 05% WP | Alphacypermethrin10.00% EC | Alphacypermethrin10.00% SC | Alphacypermethrin 75 g/l + Teflubenzuron 75 g/l SC
108,Alphanaphthyl Acetic Acid,REGISTERED,UNKNOWN,,
109,Ametoctradin,REGISTERED,UNKNOWN,,Ametoctradin 27%+Dimethomorph 20.27%SC
110,Ametryn,REGISTERED,UNKNOWN,,Ametryn 80% WG | Ametryn 73.1%+ Trifloxysulfuron Sodium 1.8% WG
111,Amisulbrom,REGISTERED,UNKNOWN,,Amisulbrom 17.7% | Amisulbrom 5.21% + Zoxamide 10.41% SC
112,Ampelomyces Quisqualis,REGISTERED,UNKNOWN,,Ampelomyces quisqualis 2.0% WP | Ampelomyces quisqualis 1.5% AS
113,Anilophos,REGISTERED,UNKNOWN,,
114,Atrazine,REGISTERED,UNKNOWN,"Endocrine disruption, leaching risk; banned in 37 countries including EU, UK",Atrazine 50% WP
115,Aureofungin,REGISTERED,UNKNOWN,,Aureofungin 46.15% SP
116,Azadirachtin,REGISTERED,UNKNOWN,,
117,Azimsulfuron,REGISTERED,UNKNOWN,,Azimsulfuron 50% DF
118,Azoxystrobin,REGISTERED,UNKNOWN,,Azoxystrobin 23% SC | Azoxystrobin 20% + Boscalid 25% SE | Azoxystrobin 11.0%+Tebuconazole18.3%SC | Azoxystrobin 11.5%+Mancozeb 30.0%WP | Azoxystrobin 12.5%+Tebuconazole 12.5%SC | Azoxystrobin 120g/l+Tebuconazole 240g/lSC | Azoxystrobin 14% +Epoxiconazole 09%SC | Azoxystrobin16.7%+Tricyclazole 33.3%SC | Azoxystrobin18.2%+Cyproconazole 7.3%SC | Azoxystrobin18.2%+Difenoconazole 11.4%SC | Azoxystrobin 4.7%+Mancozeb59.7%+Tebuconazole 5.6%WG | Azoxystrobin 4.8%+Chlorothalonil 40.0%SC | Azoxystrobin 5.1%+Tebuconazole9.1 %+ Prochloraz18.2% EC | Azoxystrobin 7.1%+Propiconazole 11.9%SE | Azoxystrobin 8.3% + Mancozeb 66.7% WG | Azoxystrobin 20% + Thifluzamide 15% SC | Azoxystrobin 25% + Boscalid 35% WG | Azoxystrobin 8.3% + Mancozeb 66.7% WG u/s | Azoxystrobin 13.04% + Thiafluzamide 15.66% SC | Azoxystrobin 4.5% + Mancozeb 67.5% + Cyproconazole 3.0% WG | Azoxystrobin 7.5% + Tebuconazole 12% + Isoprothiolane 12% SE | Azoxystrobin 30.5% + Myclobutanil 4.85% SE | Azoxystrobin 18.75% + Tricyclazole 37.5% WG | Azoxystrobin 1.3%+Tebuconazole 0.22%+Thiamethoxam 25.9% FS | Azoxystrobin 2.5%+Thiophanate Methyl 11.25%+Thiamethoxam 25%FS | Azoxystrobin 10% + Fipronil 5% SC
119,Bacillus Sphaericus,REGISTERED,UNKNOWN,,"Bacillus sphaericus 1593M serotype H595b, 1.3% flowable concentrate Potency 13000"
120,Bacillus Subtillus,REGISTERED,UNKNOWN,,
121,Bacillus Thuringiensis Var. Galleriae,REGISTERED,UNKNOWN,,
122,Bacillus Thuringiensis Var. Israelensis,REGISTERED,UNKNOWN,,"Bacillus thuringiensis var. israelensis WP | Bacillus thuringiensis var. israelensis, Serotype H-14 | Bacillus thuringiensis var. israelensis 5.0% AS | Bacillus thuringiensis var. israelensis | Bacillus thuringiensis var. israelensis, Serotype H-14,5% WP Potency 2000 ITU/mg | Bacillus thuringiensis var. israelensis, Strain Designation- ABIL, Accession No | Bacillus thuringiensis var. israelensis 12% AS | Bacillus thuringiensis var. israelensis 05.00% WP"
123,Bacillus Thuringiensis Var. Kurstaki,REGISTERED,UNKNOWN,,"Bacillus thuringiensis var. kurstaki | Bacillus thuringiensis var. kurstaki, serotype H-39,3B, Strain Z-52 | Bacillus thuringiensis var. kurstaki 0.5%WPserotype 3a,3b,3c, Strain DORBt-1, Potency | Bacillus thuringiensis var. kurstaki 0.5%WPserotype 3a,3b,3c, Strain DORBt-1 | Bacillus thuringiensis var. kurstaki 0.5% WP serotype 3a,3b,3c, Strain DORBt-1, Potency | Bacillus thuringiensis var. kurstaki 2.5% AS | Bacillus thuringiensis var. kurstaki 10% WSL | Bacillus thuringiensis var. kurstaki Strain HD-1, serotype 3a,3b,3.5%ES for Import & | Bacillus thuringiensis var. kurstaki Serotype 3a,3b, SAIIWG Potency:- 53000; SU/mg"
124,Barium Carbonate,REGISTERED,UNKNOWN,,Barium Carbonate 1%P
